SENTENCE,ID
Diabetes Drugs: what are Meglitinides / Prandial glucose regulator / Glinides?,220
Diabetes Drugs: what are Alpha-glucosidase inhibitors?,221
Diabetes Drugs: what are Thiazolidinedione / Glitazones?,222
Diabetes Drugs: what are DPP-4 inhibitors / Gliptins?,223
Diabetes Drugs: what are Incretin mimetics / GLP-1 analogues?,224
Diabetes Drugs: what are Amylin analogues?,225
can I have a list of A-Z of diabetes drugs?,226
What causes erectile dysfunction amongst diabetics?,227
How is ED diagnosed?,228
Are there treatments for men with diabetes and erectile dysfunction?,229
What is prediabetes?,230
Does stress impact blood sugar levels?,231
How many carbs can I eat on the Low Carb Program?,232
Can I drink sugar free diet drinks?,233
Can I come off insulin?,234
How do I eat to my meter?,235
What is fibre and should I avoid it?,236
Why are my blood glucose levels high in the morning when I’m fasted?,237
How do I get started on the program?,238
Can I drink fruit juice?,239
What snacks can I eat?,240
What is glucagon?,241
What can I have for breakfast that doesn’t involve egg?,242
What can I have for breakfast that doesn’t involve bacon?,243
What can I have for breakfast that doesn’t involve dairy?,244
What can I have for breakfast?,245
Is low carb making me tired?,246
Is this program just for people with diabetes?,247
Can I eat Potato?,248
Can I eat sweet potato?,249
Can I eat cassava?,250
Can I eat yam?,251
Can I eat yuca?,252
Can I eat Chinese yam?,253
Can I eat crisps?,254
Can I eat cake?,255
Are there any low carb cakes?,256
Can I eat biscuits,257
Are there any low carb biscuits?,258
Can I eat cheesecake?,259
Are there any low carb cheesecake recipes?,260
Can I eat carrot cake?,261
Are there any low carb carrot cake recipes?,262
Can I eat cookies?,263
Are there any low carb cookies?,264
How do I add my blood sugar/glucose levels on the app?,265
Can I eat chicken nuggets?,266
Can I eat chocolate?,267
Which dark chocolate brands are good for low carb?,268
What coffee can I order from Starbucks?,269
How do I make a healthy habit stick?,270
Is raw sugar better than table sugar?,271
What is protein?,272
How much protein should I eat per day?,273
Will eating fat make me fat?,274
Can I drink beer?,275
Should I take a multivitamin?,276
Will sleep impact my blood sugar or weight?,277
Can I eat cereal?,278
Can I Cook with flour?,279
Can I eat pasta?,280
Can I eat whole wheat pasta?,281
Can I eat whole wheat flour?,282
Can I eat rice?,283
"Can I eat brown, whole grain rice?",284
Can I eat crackers?,285
Can I eat rice cakes?,286
Can I eat rye crackers,287
Can I eat margarine?,288
What is the glycaemic index? ,289
Should I follow a low glycaemic index diet?,290
Should I eat any foods for brain health?,291
Can I eat blueberries?,292
Can I eat eggs?,293
Can I eat avocado?,294
Will low carb help my libido?,295
Can food increase my testosterone levels,296
What is testosterone?,297
Is it safe for a child to be on a low carb diet?,298
What are statins?,299
"Ive been prescribed statins, should I take them?",300
Can I exercise intensely on a low carb diet,301
Is low carb just for people with type 2?,302
Can I use sweeteners?,303
Will low carb help to lower my sodium levels? ,304
Can low carb cause depression?,305
Will low carb help my epilepsy?,306
Will eating low carb cause nutrient deficiencies?,307
What are trans fats?,308
What do I do first on the program?,309
Should I sugar detox?,310
Does low carb cause thyroid problem?,311
Do I need to eat carbs before exercise?,312
What does no refined sugar mean?,313
Does food with no refined sugar have any sugar in?,314
Is unrefined sugar healthy?,315
Can I drink alcohol?,316
Can I drink wine?,317
Can I drink cocktails?,318
Will low carb reduce hunger and cravings?,319
Is grass fed meat and dairy better?,320
What is Omega 3?,321
Should I eat more Omega 6?,322
Do saturated fats cause heart disease?,323
Which foods contain saturated fats?,324
Which foods contain monounsaturated fat?,325
Which foods contain poly-unsaturated fats?,326
How do I get more vitamin C on low carb?,327
Does eating fat increase cholesterol levels?,328
Is fat essential?,329
Can I go low carb as a vegetarian?,330
Can I go low carb as a vegan?,331
Is a plant based diet safe whilst eating low carb?,332
Can I eat Pecans on a low carb diet?,333
Can I eat macadamia nuts?,334
Can I eat pine nuts?,335
Can I eat Brazil nuts?,336
Can I eat peanuts?,337
Can I eat cashews?,338
Can I eat pistachios?,339
What are medium-chain triglycerides? (MCT’s),340
Should I take medium chain triglycerides?,341
How do I get more vitamin D whilst on low carb?,342
Can I drink beer?,343
Is low carb good for your teeth?,344
Can low carb help Alzheimer’s? ,345
Can I drink milk?,346
Can I drink Almond milk?,347
Can I swap milk for cream in coffee?,348
Can I drink hemp milk?,349
Can I drink rice milk?,350
Can I drink oat milk?,351
Can I drink cashew milk?,352
Can I drink coconut milk?,353
Can I eat tomato soup?,354
Can low carb help my polycystic ovarian syndrome (PCOS)?,355
What is Polycystic ovarian syndrome(PCOS)?,356
Can I eat canned soups?,357
Can I eat fried chicken?,358
Can I eat burgers?,359
Can I eat Jam?,360
Can I eat pizza?,361
Can I eat popcorn?,362
Can I eat at Subway?,363
Can I eat at Burger King?,364
Can I eat McDonalds?,365
Can I eat KFC?,366
Can I eat Nando’s?,367
Can I eat at a pub?,368
Can I eat dried fruit?,369
Can I eat granola bars?,370
Can I eat breakfast bars?,371
Can I eat Nature Valley bars?,372
Can I eat Cereal bars?,373
Can I eat flapjacks?,374
Can I eat muesli bars?,375
Can I eat ketchup?,376
Can I eat sweet chilli sauce?,377
Can I eat brown sauce?,378
Can I eat mayonnaise?,379
Can I eat pasta sauce?,380
Can I eat BBQ sauce?,381
Can I eat hot sauce?,382
Can I eat Gravy?,383
Can I eat Sriracha sauce?,384
Can I eat Tabasco sauce?,385
Can I eat chilli sauce?,386
Can I eat gummy vitamins?,387
Can I eat salad dressing?,388
Can I eat yoghurt?,389
Can I make smoothies?,390
Can I eat corned beef?,391
Are there any low carb pasta alternatives?,392
Can I follow this program to lose weight?,393
Which vegetables should I eat?,394
which foods contain healthy fats?,395
Which vegetables should I avoid?,396
Which foods should I avoid?,397
Are there any good books on low carb?,398
Any low carb snack ideas?,399
What low carb sweet treats are there?,400
What’s the max carbs I can eat per day?,401
What’s the minimum amount of carbs I should eat per day?,402
Will Low carb help my Non-Alcoholic Fatty Liver disease?,403
What are the target blood glucose levels?,404
Will the low carb program work for type 1?,405
Why haven’t I lost any weight yet?,406
Will low carb help lower my blood pressure?,407
Is low carb high in salt?,408
Is high blood pressure dangerous?,409
What blood pressure numbers are healthy?,410
Are there any low carb rice substitutes?,411
"I’m lactose intolerant, can I follow the Low Carb Program?",412
Can I use stevia?,413
Can I use erythritol?,414
Can I cook with Splenda?,415
Can I use aspartame to cook with?,416
Can I cook with saccharin?,417
Can I cook with sucralose?,418
Can I cook with nutrinova?,419
Will a low carb diet help my nephropathy?,420
Will a low carb diet help my neuropathy?,421
Will a low carb diet help my Peripheral neuropathy?,422
Will a low carb diet help my autonomic neuropathy?,423
What is neuropathy?,424
What is retinopathy?,425
What is background retinopathy?,426
What is Proliferative retinopathy?,427
What is diabetic maculopathy?,428
Can I eat Honey?,429
What is the target HbA1c for people on the programming? ,430
